Time (s),Temp (C),Temp (F),Humidity (%),Pressure (Pa),Altitude (m),CO2 (ppm),TVOC (ppb)
0,24.35,75.83,20.64,83555.32,1651.55,400,0
1,24.38,75.88,20.95,83556.66,1651.38,400,0
2,24.40,75.92,20.52,83558.45,1651.16,400,0
3,24.41,75.94,20.44,83556.36,1651.34,400,0
4,24.44,75.99,20.67,83555.08,1651.53,400,0
5,24.46,76.03,20.38,83512.16,1651.38,400,0
6,24.48,76.07,20.41,83509.69,1647.26,400,0
7,24.50,76.11,20.33,83555.93,1647.03,400,0
8,24.51,76.13,20.44,83556.75,1651.37,400,0
9,24.53,76.15,20.30,83559.80,1651.13,400,0
10,24.54,76.16,20.19,83554.81,1651.56,400,0
11,24.55,76.19,20.16,83556.00,1651.44,400,0
12,24.58,76.24,20.08,83553.50,1651.62,400,0
13,24.59,76.26,19.95,83554.50,1651.56,400,0
14,24.60,76.28,20.36,83555.48,1651.46,400,0
15,24.62,76.32,19.96,83553.41,1651.65,400,0
16,24.65,76.36,20.04,83555.18,1651.56,400,0
17,24.67,76.40,20.00,83555.82,1651.43,400,0
18,24.68,76.42,19.86,83555.29,1651.52,400,0
19,24.70,76.46,19.83,83555.60,1651.48,400,0
20,24.71,76.48,19.85,83554.20,1651.57,400,0
21,24.72,76.49,19.84,83552.61,1651.77,400,0
22,24.74,76.54,19.64,83556.30,1651.40,400,0
23,24.76,76.56,19.70,83555.06,1651.55,400,0
24,24.78,76.60,19.89,83553.66,1651.64,400,0
25,24.78,76.61,19.92,83555.55,1651.51,400,0
26,24.79,76.63,19.84,83555.65,1651.43,400,0
27,24.81,76.65,19.48,83551.99,1651.85,400,0
28,24.82,76.68,19.96,83555.23,1651.45,400,0
29,24.84,76.71,19.63,83556.36,1651.41,400,0
30,24.86,76.74,19.87,83553.59,1651.63,400,0
31,24.87,76.77,19.76,83553.55,1651.69,400,0
32,24.87,76.77,19.66,83553.20,1651.71,400,0
33,24.89,76.80,19.64,83552.80,1651.75,400,0
34,24.90,76.81,19.67,83553.99,1651.63,400,0
35,24.91,76.83,20.15,83554.48,1651.61,400,0
36,24.93,76.88,20.17,83555.77,1651.52,400,0
37,24.94,76.90,20.11,83556.27,1651.40,400,0
